Mes_Ano	Mes	Ano	Family	Pai	Mae	N_Cruzamentos	N_Sementes	N_Flores	AbortionRate	AbortionRatePond	ExpNSeed	PercOvuFertility	NSeedsPond
1_2017	1	2017	Aipim ManteigaxFecula Branca	Aipim Manteiga	Fecula Branca	9	0	23	0.00	100.0	69	0.00	0.00
1_2018	1	2018	2011-52-23xAipim Manteiga	2011-52-23	Aipim Manteiga	10	0	26	0.00	100.0	78	0.00	0.00
1_2018	1	2018	7909-02x98150-6	7909-02	98150-6	7	0	13	0.00	100.0	39	0.00	0.00
10_2016	10	2016	Aipim ManteigaxFecula Branca	Aipim Manteiga	Fecula Branca	12	0	45	0.00	100.0	135	0.00	0.00
10_2016	10	2016	Fecula BrancaxAipim Ze Marcos	Fecula Branca	Aipim Ze Marcos	13	0	49	0.00	100.0	147	0.00	0.00
10_2016	10	2016	Fecula BrancaxBRS Rosada	Fecula Branca	BRS Rosada	3	0	13	0.00	100.0	39	0.00	0.00
10_2017	10	2017	BGM1253xBGM0046	BGM1253	BGM0046	8	0	26	0.00	100.0	78	0.00	0.00
10_2017	10	2017	BGM1253xBGM1023	BGM1253	BGM1023	4	0	7	0.00	100.0	21	0.00	0.00
10_2017	10	2017	BGM1760xBGM1253	BGM1760	BGM1253	2	0	6	0.00	100.0	18	0.00	0.00
11_2016	11	2016	Aipim Ze Marcosx2011-52-23	Aipim Ze Marcos	2011-52-23	7	0	26	0.00	100.0	78	0.00	0.00
11_2016	11	2016	BGM0685x2011-52-01	BGM0685	2011-52-01	71	0	212	0.00	100.0	636	0.00	0.00
11_2016	11	2016	FLA-002-02xAipim Ze Marcos	FLA-002-02	Aipim Ze Marcos	31	0	107	0.00	100.0	321	0.00	0.00
11_2016	11	2016	FLA-005-19xAipim Manteiga	FLA-005-19	Aipim Manteiga	48	0	192	0.00	100.0	576	0.00	0.00
12_2016	12	2016	Aipim ManteigaxFecula Branca	Aipim Manteiga	Fecula Branca	1	0	1	0.00	100.0	3	0.00	0.00
12_2016	12	2016	Fecula BrancaxBRS Rosada	Fecula Branca	BRS Rosada	3	0	11	0.00	100.0	33	0.00	0.00
12_2016	12	2016	FLA-002-02xAipim Ze Marcos	FLA-002-02	Aipim Ze Marcos	4	0	12	0.00	100.0	36	0.00	0.00
12_2017	12	2017	7909-02x98150-6	7909-02	98150-6	6	0	16	0.00	100.0	48	0.00	0.00
12_2017	12	2017	7909-02xBRS Dourada	7909-02	BRS Dourada	25	0	76	0.00	100.0	228	0.00	0.00
12_2017	12	2017	BGM0816xBGM1259	BGM0816	BGM1259	20	0	58	0.00	100.0	174	0.00	0.00
12_2017	12	2017	BGM0991xBGM0888	BGM0991	BGM0888	4	0	12	0.00	100.0	36	0.00	0.00
12_2017	12	2017	BGM1583xBGM1253	BGM1583	BGM1253	7	0	26	0.00	100.0	78	0.00	0.00
12_2017	12	2017	BGM1583xBRS Gema de Ovo	BGM1583	BRS Gema de Ovo	16	0	39	0.00	100.0	117	0.00	0.00
12_2017	12	2017	BGM1784xCigana	BGM1784	Cigana	8	0	25	0.00	100.0	75	0.00	0.00
12_2017	12	2017	BGM2020xBGM1693	BGM2020	BGM1693	1	0	1	0.00	100.0	3	0.00	0.00
2_2018	2	2018	7909-02xBRS Formosa	7909-02	BRS Formosa	3	0	8	0.00	100.0	24	0.00	0.00
3_2017	3	2017	BGM1760xBGM1253	BGM1760	BGM1253	2	0	6	0.00	100.0	18	0.00	0.00
3_2018	3	2018	BRS Kiririsx7909-02	BRS Kiriris	7909-02	4	0	10	0.00	100.0	30	0.00	0.00
4_2017	4	2017	7909-05xBGM2142	7909-05	BGM2142	1	0	4	0.00	100.0	12	0.00	0.00
4_2018	4	2018	BRS Kiririsx7909-05	BRS Kiriris	7909-05	24	0	46	0.00	100.0	138	0.00	0.00
5_2018	5	2018	7909-02xBGM0816	7909-02	BGM0816	20	0	47	0.00	100.0	141	0.00	0.00
5_2018	5	2018	7909-02xBGM2044	7909-02	BGM2044	4	0	12	0.00	100.0	36	0.00	0.00
6_2018	6	2018	7909-04xCascuda	7909-04	Cascuda	4	0	14	0.00	100.0	42	0.00	0.00
7_2016	7	2016	BGM0865xBGM1284	BGM0865	BGM1284	16	0	70	0.00	100.0	210	0.00	0.00
7_2016	7	2016	BGM0935xBGM1422	BGM0935	BGM1422	5	0	9	0.00	100.0	27	0.00	0.00
7_2017	7	2017	BGM1163xBGM0131	BGM1163	BGM0131	6	0	24	0.00	100.0	72	0.00	0.00
7_2017	7	2017	BGM1444xBGM0968	BGM1444	BGM0968	4	0	14	0.00	100.0	42	0.00	0.00
7_2018	7	2018	BRS JarixAipim Abacate	BRS Jari	Aipim Abacate	23	0	61	0.00	100.0	183	0.00	0.00
8_2016	8	2016	BGM0685xBGM0089	BGM0685	BGM0089	2	0	11	0.00	100.0	33	0.00	0.00
8_2016	8	2016	BGM0865xBGM1284	BGM0865	BGM1284	5	0	23	0.00	100.0	69	0.00	0.00
8_2017	8	2017	BGM2044xBGM2167	BGM2044	BGM2167	1	0	5	0.00	100.0	15	0.00	0.00
9_2016	9	2016	BGM0685xBGM0089	BGM0685	BGM0089	3	0	6	0.00	100.0	18	0.00	0.00
9_2017	9	2017	6683xBGM1659	6683	BGM1659	1	0	7	0.00	100.0	21	0.00	0.00
9_2017	9	2017	BGM0816xBGM0661	BGM0816	BGM0661	2	0	7	0.00	100.0	21	0.00	0.00
9_2017	9	2017	BGM1253xBGM2044	BGM1253	BGM2044	1	0	4	0.00	100.0	12	0.00	0.00
9_2017	9	2017	BGM1784xBGM1130	BGM1784	BGM1130	12	0	28	0.00	100.0	84	0.00	0.00
1_2018	1	2018	7909-02xBGM1023	7909-02	BGM1023	45	1	119	0.84	99.7	357	0.28	2.22
11_2016	11	2016	Aipim ManteigaxFecula Branca	Aipim Manteiga	Fecula Branca	40	2	129	1.55	99.5	387	0.52	5.00
10_2016	10	2016	2011-52-01x2011-53-07	2011-52-01	2011-53-07	20	1	60	1.67	99.4	180	0.56	5.00
10_2017	10	2017	BGM1784xBGM1130	BGM1784	BGM1130	15	1	38	2.63	99.1	114	0.88	6.67
12_2017	12	2017	7909-02xBRS MULATINHA	7909-02	BRS MULATINHA	33	2	68	2.94	99.0	204	0.98	6.06
12_2017	12	2017	7909-02xBRS KIRIRIS	7909-02	BRS KIRIRIS	36	3	101	2.97	99.0	303	0.99	8.33
12_2016	12	2016	BGM0685x2011-52-01	BGM0685	2011-52-01	11	1	24	4.17	98.6	72	1.39	9.09
8_2017	8	2017	BGM1716x359-09	BGM1716	359-09	12	2	48	4.17	98.6	144	1.39	16.67
