Decendio	D	ANO	MES	Family	PAI	MAE	N_Flores	N_Sementes	N_Cruzamentos	AbortionRate	AbortionRatePond	NSeedsPond	Prec.	T.max	t.min	Tmed	U.R.
D1nov2016	D1	2016	nov	2011-52-01x2011-53-07	2011-52-01	2011-53-07	64	5	24	7.81	97.4	20.83	33.4	30.2	21	24.5	82
D3out2016	D3	2016	out	2011-52-01x2011-53-07	2011-52-01	2011-53-07	60	1	20	1.67	99.44	5	3.3	30.4	21.4	24.9	79.3
D1dez2017	D1	2017	dez	2011-52-01xOlho Junto	2011-52-01	Olho Junto	32	4	20	12.50	95.83	20	49.3	33	22.6	26.2	NA
D1jan2018	D1	2018	jan	2011-52-23xAipim Manteiga	2011-52-23	Aipim Manteiga	26	0	10	0.00	100	0	29.8	32.3	22.5	26.1	NA
D1nov2017	D1	2017	nov	2011-52-23xAipim Manteiga	2011-52-23	Aipim Manteiga	22	27	7	122.73	59.09	385.71	16.5	28.9	21.4	24.3	NA
D2nov2016	D2	2016	nov	2011-52-23xAipim Manteiga	2011-52-23	Aipim Manteiga	182	36	50	19.78	93.41	72	0.5	30.5	22.8	25.4	79.5
D3nov2016	D3	2016	nov	2011-52-23xAipim Manteiga	2011-52-23	Aipim Manteiga	59	57	18	96.61	67.8	316.67	0.7	31.7	20.9	25.1	75.8
D1dez2016	D1	2016	dez	2011-52-23xAipim Ze Marcos	2011-52-23	Aipim Ze Marcos	18	27	7	150.00	50	385.71	12	33	22.9	26.3	76.3
D1nov2017	D1	2017	nov	2011-52-23xAipim Ze Marcos	2011-52-23	Aipim Ze Marcos	76	40	25	52.63	82.46	160	16.5	28.9	21.4	24.3	NA
D1nov2016	D1	2016	nov	2011-52-23xCascuda	2011-52-23	Cascuda	61	7	16	11.48	96.17	43.75	33.4	30.2	21	24.5	82
D2nov2016	D2	2016	nov	2011-52-23xCascuda	2011-52-23	Cascuda	89	22	25	24.72	91.76	88	0.5	30.5	22.8	25.4	79.5
D3nov2016	D3	2016	nov	2011-52-23xCascuda	2011-52-23	Cascuda	36	67	9	186.11	37.96	744.44	0.7	31.7	20.9	25.1	75.8
D3out2016	D3	2016	out	2011-52-23xCascuda	2011-52-23	Cascuda	77	90	21	116.88	61.04	428.57	3.3	30.4	21.4	24.9	79.3
D1dez2017	D1	2017	dez	2011-53-07xGuela Jacu	2011-53-07	Guela Jacu	35	14	16	40.00	86.67	87.5	49.3	33	22.6	26.2	NA
D1jan2018	D1	2018	jan	2011-53-07xGuela Jacu	2011-53-07	Guela Jacu	43	25	20	58.14	80.62	125	29.8	32.3	22.5	26.1	NA
D1jun2017	D1	2017	jun	6683x7909-02	6683	7909-02	143	29	45	20.28	93.24	64.44	29.3	27.9	21	23.6	86.9
D3jun2017	D3	2017	jun	6683x7909-02	6683	7909-02	31	2	10	6.45	97.85	20	55	25.8	19.4	21.9	87.1
D3mai2017	D3	2017	mai	6683x7909-02	6683	7909-02	144	52	44	36.11	87.96	118.18	32.1	26.7	20.7	22.9	88.2
D1jul2017	D1	2017	jul	6683xBGM1659	6683	BGM1659	49	8	12	16.33	94.56	66.67	34.7	24.2	17.9	20.5	87.2
D3jun2017	D3	2017	jun	6683xBGM1659	6683	BGM1659	47	17	9	36.17	87.94	188.89	55	25.8	19.4	21.9	87.1
D3mai2017	D3	2017	mai	6683xBGM1659	6683	BGM1659	10	6	3	60.00	80	200	32.1	26.7	20.7	22.9	88.2
D3set2017	D3	2017	set	6683xBGM1659	6683	BGM1659	7	0	1	0.00	100	0	16.8	26.8	18.9	22.4	87.1
D2jun2017	D2	2017	jun	6683xBGM1942	6683	BGM1942	92	16	27	17.39	94.2	59.26	51.6	26.6	19.6	22.5	83.2
D3jun2017	D3	2017	jun	6683xBGM1942	6683	BGM1942	44	4	13	9.09	96.97	30.77	55	25.8	19.4	21.9	87.1
D1jun2017	D1	2017	jun	6683xBGM2044	6683	BGM2044	43	34	13	79.07	73.64	261.54	29.3	27.9	21	23.6	86.9
D2mai2017	D2	2017	mai	6683xBGM2044	6683	BGM2044	24	4	7	16.67	94.44	57.14	62.7	27.7	21.3	23.7	89.7
D3mai2017	D3	2017	mai	6683xBGM2044	6683	BGM2044	115	77	35	66.96	77.68	220	32.1	26.7	20.7	22.9	88.2
D1jun2017	D1	2017	jun	7795xBGM1253	7795	BGM1253	85	56	17	65.88	78.04	329.41	29.3	27.9	21	23.6	86.9
D2mai2017	D2	2017	mai	7795xBGM1253	7795	BGM1253	85	58	22	68.24	77.25	263.64	62.7	27.7	21.3	23.7	89.7
D3mai2017	D3	2017	mai	7795xBGM1253	7795	BGM1253	83	39	21	46.99	84.34	185.71	32.1	26.7	20.7	22.9	88.2
D1jun2017	D1	2017	jun	7795xBGM2167	7795	BGM2167	78	39	24	50.00	83.33	162.5	29.3	27.9	21	23.6	86.9
D2jun2017	D2	2017	jun	7795xBGM2167	7795	BGM2167	66	24	21	36.36	87.88	114.29	51.6	26.6	19.6	22.5	83.2
D2mai2017	D2	2017	mai	7795xBGM2167	7795	BGM2167	27	0	10	0.00	100	0	62.7	27.7	21.3	23.7	89.7
D3jun2017	D3	2017	jun	7795xBGM2167	7795	BGM2167	85	69	21	81.18	72.94	328.57	55	25.8	19.4	21.9	87.1
D3mai2017	D3	2017	mai	7795xBGM2167	7795	BGM2167	29	18	10	62.07	79.31	180	32.1	26.7	20.7	22.9	88.2
D3set2017	D3	2017	set	7795xBGM2167	7795	BGM2167	81	44	23	54.32	81.89	191.3	16.8	26.8	18.9	22.4	87.1
D1mai2017	D1	2017	mai	7909-02x7909-04	7909-02	7909-04	26	30	8	115.38	61.54	375	76.4	28	20.9	23.6	90.1
D2abr2017	D2	2017	abr	7909-02x7909-04	7909-02	7909-04	64	122	26	190.63	36.46	469.23	39.5	29.6	22.2	24.8	84
D3abr2017	D3	2017	abr	7909-02x7909-04	7909-02	7909-04	124	80	39	64.52	78.49	205.13	69.5	29.6	22	24.9	85
D3mar2017	D3	2017	mar	7909-02x7909-04	7909-02	7909-04	1	3	1	300.00	0	300	1	31.3	22.9	26.1	76.7
D1dez2017	D1	2017	dez	7909-02x98150-6	7909-02	98150-6	16	0	6	0.00	100	0	49.3	33	22.6	26.2	NA
D1fev2018	D1	2018	fev	7909-02x98150-6	7909-02	98150-6	60	8	19	13.33	95.56	42.11	64.5	32.5	23	26.3	NA
D3jan2018	D3	2018	jan	7909-02x98150-6	7909-02	98150-6	13	0	7	0.00	100	0	0	32.9	21.7	26.1	NA
D3mai2018	D3	2018	mai	7909-02xBGM0816	7909-02	BGM0816	47	0	20	0.00	100	0	88.4	26.6	20.6	22.9	NA
D1fev2018	D1	2018	fev	7909-02xBGM1023	7909-02	BGM1023	144	9	58	6.25	97.92	15.52	64.5	32.5	23	26.3	NA
D1jan2018	D1	2018	jan	7909-02xBGM1023	7909-02	BGM1023	88	0	32	0.00	100	0	29.8	32.3	22.5	26.1	NA
D2fev2018	D2	2018	fev	7909-02xBGM1023	7909-02	BGM1023	38	0	17	0.00	100	0	10.2	31.4	21.8	25.5	NA
D2jan2018	D2	2018	jan	7909-02xBGM1023	7909-02	BGM1023	21	1	9	4.76	98.41	11.11	26.5	30.6	21.6	25.2	NA
D3jan2018	D3	2018	jan	7909-02xBGM1023	7909-02	BGM1023	10	0	4	0.00	100	0	0	32.9	21.7	26.1	NA
D1jan2018	D1	2018	jan	7909-02xBGM1024	7909-02	BGM1024	32	1	12	3.13	98.96	8.33	29.8	32.3	22.5	26.1	NA
D2jan2018	D2	2018	jan	7909-02xBGM1024	7909-02	BGM1024	74	21	30	28.38	90.54	70	26.5	30.6	21.6	25.2	NA
D1jul2017	D1	2017	jul	7909-02xBGM1716	7909-02	BGM1716	12	2	3	16.67	94.44	66.67	34.7	24.2	17.9	20.5	87.2
D1jun2017	D1	2017	jun	7909-02xBGM1716	7909-02	BGM1716	34	19	12	55.88	81.37	158.33	29.3	27.9	21	23.6	86.9
D2jun2017	D2	2017	jun	7909-02xBGM1716	7909-02	BGM1716	11	11	4	100.00	66.67	275	51.6	26.6	19.6	22.5	83.2
D3jun2017	D3	2017	jun	7909-02xBGM1716	7909-02	BGM1716	63	19	17	30.16	89.95	111.76	55	25.8	19.4	21.9	87.1
D1abr2017	D1	2017	abr	7909-02xBGM1760	7909-02	BGM1760	32	14	19	43.75	85.42	73.68	43.6	29.5	22.3	24.9	82.8
D1mai2017	D1	2017	mai	7909-02xBGM1760	7909-02	BGM1760	37	11	16	29.73	90.09	68.75	76.4	28	20.9	23.6	90.1
D2mai2017	D2	2017	mai	7909-02xBGM1760	7909-02	BGM1760	18	4	6	22.22	92.59	66.67	62.7	27.7	21.3	23.7	89.7
D3abr2017	D3	2017	abr	7909-02xBGM1760	7909-02	BGM1760	73	13	20	17.81	94.06	65	69.5	29.6	22	24.9	85
D3mar2017	D3	2017	mar	7909-02xBGM1760	7909-02	BGM1760	6	5	4	83.33	72.22	125	1	31.3	22.9	26.1	76.7
D1ago2017	D1	2017	ago	7909-02xBGM1784	7909-02	BGM1784	92	18	31	19.57	93.48	58.06	11	26.4	18.1	21.3	83.8
D2ago2017	D2	2017	ago	7909-02xBGM1784	7909-02	BGM1784	58	25	17	43.10	85.63	147.06	5.4	26	18.1	21.2	83.7
D1mai2017	D1	2017	mai	7909-02xBGM1942	7909-02	BGM1942	70	9	15	12.86	95.71	60	76.4	28	20.9	23.6	90.1
D2jun2017	D2	2017	jun	7909-02xBGM1942	7909-02	BGM1942	45	30	15	66.67	77.78	200	51.6	26.6	19.6	22.5	83.2
D2mai2017	D2	2017	mai	7909-02xBGM1942	7909-02	BGM1942	129	48	43	37.21	87.6	111.63	62.7	27.7	21.3	23.7	89.7
D1abr2018	D1	2018	abr	7909-02xBGM2044	7909-02	BGM2044	17	15	6	88.24	70.59	250	1.3	30.7	21.5	25.1	NA
D2abr2018	D2	2018	abr	7909-02xBGM2044	7909-02	BGM2044	11	7	6	63.64	78.79	116.67	48.5	27.9	21.4	23.8	NA
D3abr2018	D3	2018	abr	7909-02xBGM2044	7909-02	BGM2044	49	36	22	73.47	75.51	163.64	125.9	27.3	21.1	23.6	NA
D3mai2018	D3	2018	mai	7909-02xBGM2044	7909-02	BGM2044	12	0	4	0.00	100	0	88.4	26.6	20.6	22.9	NA
D2dez2017	D2	2017	dez	7909-02xBRS Dourada	7909-02	BRS Dourada	76	0	25	0.00	100	0	75.9	29.7	22.1	25.1	NA
D1fev2018	D1	2018	fev	7909-02xBRS Formosa	7909-02	BRS Formosa	8	0	3	0.00	100	0	64.5	32.5	23	26.3	NA
D1jan2018	D1	2018	jan	7909-02xBRS Formosa	7909-02	BRS Formosa	11	4	3	36.36	87.88	133.33	29.8	32.3	22.5	26.1	NA
D2dez2017	D2	2017	dez	7909-02xBRS Formosa	7909-02	BRS Formosa	15	3	5	20.00	93.33	60	75.9	29.7	22.1	25.1	NA
D2jan2018	D2	2018	jan	7909-02xBRS Formosa	7909-02	BRS Formosa	41	26	15	63.41	78.86	173.33	26.5	30.6	21.6	25.2	NA
